218,The Darkness 2,PS3,2020-09-17,2.50,2.50,0.00,Digital Extremes,Canada
219,The House of the Dead: Overkill,PS3,2020-10-11,5.00,5.00,0.00,SEGA,Japan
220,The Secret of Monkey Island: Special Edition,PS3,2021-02-10,4.99,4.99,0.00,LucasArts,USA
221,The Simpsons Arcade Game,PS3,2013-11-29,9.99,9.99,0.00,Konami,Japan
222,The Simpsons Game,PS3,2020-10-11,28.00,28.00,0.00,EA Redwood Shores,USA
223,The Sims 3,PS3,2010-11-07,18.00,18.00,0.00,Maxis,USA
224,The Sims 3: Pets,PS3,2010-11-07,18.00,18.00,0.00,Maxis,USA
225,Tiger Woods PGA Tour 11,PS3,2010-08-15,1.00,1.00,0.00,EA Tiburon,USA
226,ToeJam and Earl (1991),PS3,2021-02-10,2.75,2.75,0.00,Johnson Voorsanger Productions,USA
227,ToeJam and Earl: Panic on Funkotron,PS3,2021-02-10,2.74,2.74,0.00,Johnson Voorsanger Productions,USA
228,Tokyo Jungle,PS3,2013-11-21,12.99,12.99,0.00,Team Asobi (Japan Studio),Japan
229,Tomb Raider (2013),PS3,2023-04-20,14.99,5.00,9.99,Crystal Dynamics,USA
230,Tony Hawk`s Pro Skater HD,PS3,2014-02-24,9.99,9.99,0.00,Robomodo,USA
231,Twisted Metal (2012),PS3,2020-10-11,12.99,5.00,7.99,Eat Sleep Play,USA
232,UFC 2009 Undisputed,PS3,2020-10-11,2.00,2.00,0.00,Yuke`s,Japan
233,Velocity Ultra,PS3,2015-08-08,7.99,7.99,0.00,FuturLab,England
234,When Vikings Attack,PS3,2021-08-14,4.99,4.99,0.00,Clever Beans,England
235,XCOM Enemy Unknown,PS3,2013-06-24,39.98,25.98,14.00,Firaxis Games,USA
236,Yakuza: Dead Souls,PS3,2023-02-14,19.99,0.00,19.99,Ryu Ga Gotoku,Japan
237,Zombie Tycoon II: Brainhov`s Revenge,PS3,2018-09-02,6.19,6.19,0.00,Frima Studio,Canada
238,Crazy Market,PSVITA,2015-07-02,0.00,0.00,0.00,The Game Atelier,France
239,Deathmatch Village,PSVITA,2015-07-02,0.00,0.00,0.00,Bloober Team,Poland
240,Fat Princess: Piece of Cake,PSVITA,2015-02-01,0.00,0.00,0.00,One Loop Games,USA
241,Flame Over,PSVITA,2018-09-30,9.99,9.99,0.00,Laughing Jackal Ltd,England
242,Football Manager Classic 2014,PSVITA,2014-06-01,39.99,39.99,0.00,Sports Interactive,England
243,Get Off My Lawn!,PSVITA,2015-02-10,0.00,0.00,0.00,Digital Leisure Inc,Canada
244,Gunslugs,PSVITA,2017-04-07,2.49,2.49,0.00,Abstraction Games,Netherlands
245,Jet Set Radio,PSVITA,2018-09-30,7.99,7.99,0.00,SEGA,Japan
246,LEGO Batman 2: DC Super Heroes,PSVITA,2015-08-20,19.99,0.00,19.99,TT Games,England
247,ModNation Racers: Road Trip,PSVITA,2015-11-18,14.99,14.99,0.00,San Diego Studio,USA
248,No Heroes Allowed: No Puzzles Either!,PSVITA,2015-07-02,5.99,5.99,0.00,ACQUIRE Corp,Japan
249,Paint Park Plus,PSVITA,2015-07-02,0.00,0.00,0.00,Sony Interactive Entertainment,Japan
250,PlayStation VITA Pets,PSVITA,2015-08-02,24.99,9.99,15.00,Spiral House,England
251,Quell Memento,PSVITA,2017-04-15,3.59,3.59,0.00,Fallen Tree Games,England
252,Rocketbirds: Hardboiled Chicken,PSVITA,2015-11-28,7.99,7.99,0.00,Ratloop,USA
253,Silent Hill: Book of Memories,PSVITA,2016-10-22,14.99,6.99,8.00,WayForward Technologies Inc,USA
254,Skeleton Rider,PSVITA,2017-04-07,3.99,3.99,0.00,iSquared Games,England
255,Sly Cooper: Thieves in Time,PSVITA,2017-10-06,14.99,4.99,10.00,Sanzaru Games,USA
256,Spy Hunter (2012),PSVITA,2018-09-30,19.99,19.99,0.00,TT Games,England
257,Street Fighter X Tekken,PSVITA,2017-01-31,24.99,4.99,20.00,Sucker Punch Productions,USA
258,SunFlowers,PSVITA,2018-09-30,2.99,2.99,0.00,The Game Atelier,France
259,Surge Deluxe,PSVITA,2018-09-30,4.99,4.99,0.00,FuturLab,England
260,Table Football,PSVITA,2015-07-02,0.00,0.00,0.00,Sony Interactive Entertainment,Japan
261,Table Top Racing,PSVITA,2019-10-11,2.99,2.99,0.00,Playrise Digital Ltd,England
262,TxK,PSVITA,2015-12-25,6.99,6.99,0.00,Llamasoft,England
263,Uncharted: Golden Abyss,PSVITA,2015-08-02,24.99,6.99,18.00,Bend Studio,USA
264,Uncharted: Fight for Fortune,PSVITA,2015-08-30,4.99,4.99,0.00,Bend Studio,USA
265,Wanderjahr,PSVITA,2018-09-30,9.99,9.99,0.00,Workyrie Game Studio,Japan
266,Worms Revolution Extreme,PSVITA,2015-07-16,14.99,0.00,14.99,Team17,England
267,Yomawari: Night Alone,PSVITA,2017-04-15,19.99,9.99,10.00,Nippon Ichi Software,Japan
268,Zero Escape: Virtue`s Last Reward,PSVITA,2015-07-02,19.99,19.99,0.00,Spike Chunsoft,Japan
269,[Prototype],PS4,2017-08-22,24.99,7.99,17.00,Radical Entertainment,Canada
270,[Prototype 2],PS4,2017-08-22,24.99,7.99,17.00,Radical Entertainment,Canada
271,101 Ways To Die,PS4,2017-07-16,9.99,4.99,5.00,Four Door Lemon,England
272,60 Seconds! Reatomized,PS4,2022-12-20,9.99,0.00,9.99,Robot Gentleman,Poland
273,A Boy And His Blob,PS4,2017-08-03,9.99,3.99,6.00,WayForward Technologies Inc,USA
274,Absolute Drift: Zen Edition,PS4,2017-01-31,11.99,7.99,4.00,FlippFly,USA
275,Abzu,PS4,2021-08-24,19.99,0.00,19.99,Giant Squid Studios,USA
276,Action Henk,PS4,2023-05-02,14.99,1.49,13.50,RageSquid,Netherlands
277,Active Soccer 2 DX,PS4,2017-01-31,9.99,6.99,3.00,The Fox Software,Italy
278,Amnesia: Collection,PS4,2020-11-04,28.49,3.13,25.36,Frictional Games,Sweden
279,Amplitude,PS4,2017-01-19,19.99,9.99,10.00,Harmonix Music Systems,USA
280,Another World,PS4,2019-09-19,7.99,2.99,5.00,Delphine Software International,France
281,Ape Escape 2,PS4,2018-01-15,9.99,3.99,6.00,Team Asobi (Japan Studio),Japan
282,ARK: Survival Evolved,PS4,2022-03-01,29.99,0.00,29.99,Studio Wildcard,USA
283,Armello,PS4,2017-08-04,19.99,7.99,12.00,League of Geeks,Australia
284,Armikrog,PS4,2020-12-15,9.99,1.99,8.00,Pencil Test Studios,USA
285,Art Of Balance,PS4,2017-08-07,8.99,2.99,6.00,Shin`en Multimedia,Germany
286,Assault Android Cactus,PS4,2018-06-17,14.49,3.99,10.50,Witch Beam,Australia
287,Aven Colony,PS4,2020-03-13,29.99,14.99,15.00,Mothership Entertainment,USA
288,Back To The Future TTG,PS4,2017-06-01,12.98,12.98,0.00,Telltale Games,USA
289,Badland,PS4,2019-02-23,11.99,4.99,7.00,Frogmind Games,Finland
290,Batman Season 1 TTG,PS4,2016-11-26,19.99,19.99,0.00,Telltale Games,USA
291,Batman Season 2 TTG,PS4,2018-11-17,14.99,14.99,0.00,Telltale Games,USA
