Game,Console,Developer,Country
PixelJunk Shooter Ultimate,PlayStation 4,Double Eleven,England
Plants vs Zombies: Battle for Neighborville,PlayStation 4,PopCap Games,USA
Please Don't Touch Anything,PlayStation 4,Four Quarters,Russia
Poltergeist: A Pixelated Horror,PlayStation 4,Glitchy Pixel,Colombia
Polybius,PlayStation 4,Llamasoft,England
PONG Quest,PlayStation 4,Chequered Ink Ltd,England
Postal Redux,PlayStation 4,Running with Scissors,USA
Psychonauts,PlayStation 4,Double Fine Productions,USA
Psychonauts 2,PlayStation 4,Double Fine Productions,USA
Pumped BMX+,PlayStation 4,"Yeah, Us!",England
Putty Squad,PlayStation 4,System 3 Software,England
Quake,PlayStation 4,id Software,USA
Quest Of Dungeons,PlayStation 4,Upfall Studios,Portugal
Rally Copters,PlayStation 4,Depth First Games,USA
Ratchet & Clank,PlayStation 4,Insomniac Games,USA
Rayman Legends,PlayStation 4,Ubisoft Montpellier,France
Red Dead Redemption 2,PlayStation 4,Rockstar Studios,USA
Red Dead Revolver,PlayStation 4,Rockstar San Diego,USA
Resident Evil,PlayStation 4,Capcom,Japan
Resident Evil 0,PlayStation 4,Capcom,Japan
Resident Evil 2,PlayStation 5,Capcom,Japan
Resident Evil 3,PlayStation 5,Capcom,Japan
Resident Evil 4,PlayStation 4,Capcom,Japan
